,Estimated HIV Prevalence% - (Ages 15-49),Continents,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
230,Trinidad and Tobago,NA,,,,0.010653031,,,,,,,,0.2,0.3,0.4,0.5,0.6,0.8,0.9,1.0,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.5,1.5
231,Tunisia,AF,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
232,Turkey,AS,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
233,Turkmenistan,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Turks and Caicos Islands,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Tuvalu,OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Uganda,AF,0.01,,,,,,,,,,,10.2,10.7,10.5,10.2,9.8,9.3,8.8,8.4,8.0,7.6,7.3,7.0,6.8,6.6,6.4,6.4,6.3,6.3,6.4,6.9,7.0,7.2
237,Ukraine,EU,,,,,,,,,,,,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.7,0.8,0.9,0.9,1.0,1.1,1.1,1.1,1.1,1.1,1.1,0.9,0.8,0.8
238,United Arab Emirates,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,United Kingdom,EU,,,,,0.019257422,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
240,United States,NA,0.031764078,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6
241,Uruguay,SA,0.009697302,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6
242,USSR,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Uzbekistan,AS,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,,,
244,Wallis et Futuna,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Vanuatu,OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Venezuela,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5
247,West Bank and Gaza,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,West Germany,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Western Sahara,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Vietnam,AS,,,,,,,,,,,,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5
251,Virgin Islands (U.S.),No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,North Yemen (former),No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,South Yemen (former),No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Yemen,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,0.2
255,Yugoslavia,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Zambia,AF,0.01,,,,,,,,,,,12.7,13.6,14.2,14.6,14.9,15.0,14.9,14.8,14.7,14.6,14.4,14.3,14.2,14.1,14.0,13.9,13.8,13.7,13.6,12.9,12.7,12.5
257,Zimbabwe,AF,0.01,,,,,,,,,,,10.1,13.6,17.2,20.6,23.3,25.1,26.2,26.5,26.3,25.7,24.8,23.7,22.5,21.1,19.8,18.4,17.2,16.1,15.1,15.7,15.2,14.9
258,Åland,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,South Sudan,AF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
260,Christian,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Coastline,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Curaçao,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Sint Maarten (Dutch part),No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,St. Martin (French part),No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Antarctica,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,"Virgin Islands, British",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Hawaiian Trade Zone,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,U.S. Pacific Islands,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Wake Island,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Bonaire,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Sark,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Chinese Taipei,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Saint Eustatius,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Saba,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
