,Estimated HIV Prevalence% - (Ages 15-49),Continents,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
82,Germany,EU,,,,0.022875823,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
83,Ghana,AF,,,,,,,,,,,,0.3,0.4,0.7,0.9,1.3,1.7,2.0,2.2,2.3,2.3,2.3,2.3,2.2,2.1,2.1,2.0,1.9,1.9,1.8,1.6,1.5,1.5
84,Gibraltar,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Greece,EU,0.018909064,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
86,Greenland,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Grenada,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Guadeloupe,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Guam,OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Guatemala,NA,,,,,,,,,,,,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.7,0.7,0.8
91,Guernsey,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Guinea,AF,0.015019429,,,,,,,,,,,1.1,1.3,1.5,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.6,1.6,1.5,1.5,1.4,1.4,1.4,1.4,1.4,1.4
93,Guinea-Bissau,AF,,,0.009823591,,,,,,,,,0.3,0.3,0.4,0.6,0.7,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.1,2.3,2.3,2.4,2.4,2.5,2.5,2.3,2.4,2.5
94,Guyana,SA,0.030135016,,,,,,,,,,,2.8,2.7,2.6,2.5,2.3,2.2,2.1,1.9,1.8,1.6,1.5,1.4,1.3,1.3,1.2,1.1,1.1,1.0,1.2,1.2,1.1,1.1
95,Haiti,NA,0.155026457,,,,,,,,,,,1.3,1.6,2.3,3.3,3.6,3.6,3.4,3.3,3.1,2.9,2.8,2.6,2.5,2.3,2.2,2.1,2.1,2.0,2.0,1.9,1.9,1.8
96,Holy See,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Honduras,NA,0.01,,,,,,,,,,,1.1,1.2,1.4,1.4,1.5,1.5,1.5,1.4,1.4,1.3,1.3,1.2,1.1,1.1,1.0,0.9,0.9,0.8,0.8,,,
98,"Hong Kong, China",No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Hungary,EU,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1
100,Iceland,EU,0.012373161,,,,,,,,,,,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3
101,India,AS,,,,,,,,,,,,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.37,0.37,0.34,0.32,0.31,,
102,Indonesia,AS,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3
103,Iran,AS,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
104,Iraq,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Ireland,EU,,,,0.015104416,,,,,,,,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
106,Isle of Man,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Israel,AS,0.012167647,,,,,,,,,,,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
108,Italy,EU,0.01,,,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4
109,Jamaica,NA,0.014488867,,,,,,,,,,,2.1,2.2,2.2,2.2,2.2,2.2,2.1,2.1,2.0,2.0,1.9,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.7,1.8,1.8,1.8
110,Japan,AS,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
111,Jersey,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Jordan,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Kazakhstan,AS,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
114,Kenya,AF,0.07,,,,,,,,,,,3.9,5.4,7.0,8.4,9.6,10.3,10.5,10.5,10.1,9.6,9.0,8.4,7.9,7.5,7.1,6.8,6.6,6.4,6.3,6.2,6.2,6.2
115,Kiribati,OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,North Korea,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,South Korea,No continent,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
118,"United Korea (former)
",No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Kosovo,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Kuwait,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Kyrgyz Republic,No continent,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4
122,Lao,No continent,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3
123,Latvia,EU,,,,,,,,,,,,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7
124,Lebanon,AS,0.012167647,,,,,,,,,,,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
125,Lesotho,AF,,,,,,0.011079346,,,,,,0.8,1.7,3.3,5.9,9.8,14.3,18.5,21.6,23.4,24.2,24.5,24.5,24.3,24.1,23.8,23.6,23.5,23.5,23.6,23.0,23.2,23.3
126,Liberia,AF,0.01185026,,,,,,,,,,,0.3,0.5,1.0,1.7,2.5,3.1,3.4,3.6,3.5,3.4,3.3,3.1,2.8,2.6,2.4,2.2,2.0,1.8,1.6,1.3,1.1,1.0
127,Libya,AF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Liechtenstein,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Lithuania,EU,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1
130,Luxembourg,EU,0.013690696,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
131,"Macao, China",No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,"Macedonia, FYR",No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Madagascar,AF,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
134,Malawi,AF,,0.015321148,,,,,,,,,,7.2,8.8,10.5,11.9,13.1,13.9,14.5,14.7,14.7,14.5,14.2,13.8,13.4,13.0,12.5,12.1,11.8,11.4,11.2,10.9,10.4,10.0
135,Malaysia,AS,,,,,,,,,0.010175238,,,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4
136,Maldives,AS,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
137,Mali,AF,,,,0.012575162,,,,,,,,0.4,0.6,1.0,1.4,1.7,1.8,1.9,1.9,1.8,1.8,1.7,1.6,1.5,1.4,1.3,1.2,1.1,1.1,1.0,1.2,1.1,1.1
138,Malta,EU,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
139,Marshall Islands,OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Martinique,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Mauritania,AF,,,,,,,,,,,,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,1.0,1.1,1.1
142,Mauritius,AF,,,,,,,,,,,,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.7,0.8,0.9,1.0,1.0,1.0
143,Mayotte,AF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Mexico,NA,0.03122474,,,,,,,,,,,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2
145,"Micronesia, Fed. Sts.",No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Moldova,EU,,,,,,,,,,,,0.06,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5
147,Monaco,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Mongolia,AS,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
149,Montenegro,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Montserrat,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Morocco,AF,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2
152,Mozambique,AF,0.075681075,,,,,,,,,,,1.2,1.6,2.1,2.7,3.4,4.1,4.9,5.8,6.7,7.7,8.6,9.4,10.1,10.6,11.0,11.2,11.3,11.4,11.4,11.3,11.3,11.3
153,Myanmar,AS,,,,,,,0.01,,,,,0.2,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.7,0.7,0.6
154,Namibia,AF,0.016749108,,,,,,,,,,,1.6,2.2,3.0,4.1,5.5,7.1,8.9,10.7,12.5,14.1,15.3,16.1,16.5,16.5,16.2,15.7,15.0,14.3,13.7,13.7,13.6,13.4
155,Nauru,OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Nepal,AS,,,,,,,0.01,,,,,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3
157,Netherlands,EU,,,,0.010807512,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
158,Netherlands Antilles,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,New Caledonia,OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,New Zealand,OC,,,,,,,,0.01137169,,,,0.1,0.1,0.1,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
161,Ngorno-Karabakh,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Nicaragua,NA,,,,,,,,0.00951034,,,,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
163,Niger,AF,,,,,0.011430135,,,,,,,0.1,0.1,0.2,0.3,0.4,0.6,0.7,0.9,0.9,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8
164,Nigeria,AF,0.037979687,,,,,,,,,,,1.3,2.2,3.1,3.6,3.8,4.0,4.0,4.0,4.0,4.0,3.9,3.8,3.8,3.7,3.7,3.7,3.6,3.6,3.6,3.6,3.7,3.7
165,Niue,OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Norfolk Island,OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Northern Cyprus,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Northern Mariana Islands,OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Norway,EU,,,,,0.014449506,,,,,,,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
170,Oman,AS,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,,,
171,Pakistan,AS,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
172,Palau,OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Panama,NA,0.046410768,,,,,,,,,,,0.2,0.3,0.3,0.4,1.1,1.6,1.6,1.6,1.6,1.5,1.4,1.4,1.3,1.2,1.1,1.1,1.0,0.9,0.9,0.8,0.8,0.8
174,Papua New Guinea,OC,,,,,,,,,0.010175238,,,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.7,0.7,0.8,0.8,0.9,0.9,0.7,0.7,0.7
175,Paraguay,SA,,,,,0.00974306,,,,,,,0.06,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
176,Peru,SA,0.010679312,,,,,,,,,,,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4
177,Philippines,AS,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
178,Pitcairn,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Poland,EU,,,,,,,,,,,,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
180,Portugal,EU,0.02050798,,,,,,,,,,,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.7
181,Puerto Rico,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Qatar,AS,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,,,
183,Reunion,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Romania,EU,,,,,,,,,,,,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
185,Russia,EU,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.3,0.5,0.6,0.8,0.8,0.9,0.9,0.9,1.0,,,
186,Rwanda,AF,0.01,,,,,,,,,,,5.2,5.2,5.1,5.0,4.9,4.7,4.5,4.3,4.2,4.0,3.8,3.7,3.6,3.4,3.2,3.1,3.0,2.9,2.9,3.0,3.0,2.9
187,St. Barthélemy,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,St. Helena,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,St. Kitts and Nevis,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,St. Lucia,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,St. Martin,No continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
